"id","phone","fax","clerk","county","abbreviation","hours","lunch","website","address1","address2","address3","city","zip","plus4","state","location","partynamesid","district","img-sm","img-md","img-lg"
"1","9186967633","9186965365","Nichole Cooper","ADAIR","AD","8:00am to 4:30pm","","","Adair County Courthouse","220 W. Division St.","P.O. Box 426","Stilwell","74960","3012","OK","1","63702","15","1","0","0"
"2","5805963523","5805962556","Tammi Miller","ALFALFA","AL","8:30am to 4:30pm","","","Alfalfa County Courthouse","300 S. Grand  Avenue","","Cherokee","73728","2548","OK","1","63703","4","0","0","0"
"3","5808893565","5808895075","April Maxey","ATOKA","AT","8:30am to 4:30pm","","","Atoka County Courthouse","200 E. Court St.","","Atoka","74525","2045","OK","1","63704","25","1","0","0"
"4","5806253191","","Tammie Patzkowsky","BEAVER","BV","8:00am to 5:00pm","","","Beaver County Courthouse","111 W. 2nd St.","P.O. Box 237","Beaver","73932","0237","OK","1","63705","1","1","0","0"
"5","5809283330","5809289278","Donna Howell","BECKHAM","BK","8:00am to 4:00pm","","","Beckham County Courthouse","P.O. Box 520","","Sayre","73662","3002","OK","1","63706","2","1","0","0"
"6","5806235970","5806234781","Christy Matli","BLAINE","BL","8:00am to 4:00pm","","","Blaine County Courthouse","212 N. Weigel St.","","Watonga","73772","1286","OK","1","63707","4","1","0","0"
"7","5809241446","5809310577","Donna Alexander","BRYAN","BR","8:00am to 5:00pm","","","Bryan County Courthouse","402 W. Evergreen St.","","Durant","74701","4703","OK","1","63708","19","1","0","0"
"8","4052473393","4052474127","Patti Barger","CADDO","CA","8:30am to 4:30pm","","","Caddo County Courthouse","110 SW 2nd Street","Suite 207","Anadarko","73005","3430","OK","1","63709","6","1","0","0"
"9","4052621070","4052621522","Marie Hirst","CANADIAN","CD","8:00am to 4:30pm","","http://www.canadiancounty.org/","Canadian County Courthouse","301 N. Choctaw St.","P.O. Box 730","El Reno","73036","0730","OK","1","12742204","26","1","0","0"
"10","5802235253","","Renee Bryant","CARTER","CR","8:00am to 5:00pm","12:00pm to 1:00pm","http://www.brightok.net/cartercounty/courtclerk.html","Carter County Courthouse","20 B St. S.W.","P.O. Box 37","Ardmore","73402","0037","OK","1","63681","20","1","0","0"
"11","9184560691","9184586587","Shelly Kissinger","CHEROKEE","CH","8:00am to 4:30pm","","","Cherokee County Courthouse","213 W. Delaware St.","","Tahlequah","74464","3639","OK","1","63711","15","1","0","0"
"12","5803267554","5803260291","Laura Sumner","CHOCTAW","CT","8:00am to 4:00pm","","","Choctaw County Courthouse","300 E. Jefferson St.","","Hugo","74743","4406","OK","1","63712","17","1","0","0"
