"id","countyid","county","lname","fname","mname","suffix","address1","address2","address3","city","state","zipcode","phone","notes","image","title","type","district","img-sm","img-md","img-lg"
"112","51","MUSKOGEE","Alford","Thomas","H.","","Muskogee County Courthouse","220 State Street"," ","Muskogee","OK","74401","9186876388","                                                  ","thomasalford.jpg","Judge","District","15","1","1","1"
"150","20","CUSTER","Haught","Floyd","Douglas","","Custer County Courthouse","PO Box 105"," ","Arapaho","OK","73620","5803232230","                                                  ","floydhaught.jpg","Judge","District","2","1","1","1"
"196","51","MUSKOGEE","Adair","Robin","W.","","Muskogee County Courthouse","220 State Street"," ","Muskogee","OK","74401","9186832997","                                                  ","robinadair.jpg","Judge","Special","15","1","1","1"
"247","7","BRYAN","Powers","Rocky","L.","","Bryan County Courthouse","402 W. Evergreen Street"," ","Durant","OK","74701","5809243450","                                                  ","rockypowers.jpg","Judge","Associate District","19","1","1","1"
"270","55","OKLAHOMA","Dixon","Bryan","C.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 821"," ","Oklahoma City","OK","73102","4057131460","                                                  ","bryandixon.jpg","Judge","District","7","1","1","1"
"275","55","OKLAHOMA","Croy","James","B.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 602"," ","Oklahoma City","OK","73102","4057131413","                                                  ","jamescroy.jpg","Judge","Special","7","1","1","1"
"303","33","JACKSON","Darby","Richard","","","Jackson County Courthouse","101 N. Main"," ","Altus","OK","73521","5804821665","                                                  ","richarddarby.jpg","Judge","District","3","1","1","0"
"317","55","OKLAHOMA","Hall","Russell","D.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 502"," ","Oklahoma City","OK","73102","4057131181","                                                  ","russellhall.jpg","Judge","Special","7","1","1","0"
"322","72","TULSA","Musseman","William","J.","Jr","Tulsa County Courthouse","500 S. Denver, Rm 501","","Tulsa","OK","74103","9185965324","replacing Carlos Chapelle as of 12/3/09","williammusseman.jpg","Judge","District","14","1","1","0"
"328","11","CHEROKEE","Langley","Lawrence","L.","","Cherokee County Courthouse","213 W. Delaware","","Tahlequah","OK","74464","9184532020","new judge in Sequoyah as of 4/1/11","lawrencelangley.jpg","Judge","Special","15","1","1","1"
"358","57","OSAGE","Gambill","Bruce","David","","Osage County Courthouse","600 Grandview"," ","Pawhuska","OK","74056","9182873338","                                                  ","brucegambill.jpg","Judge","Associate District","10","1","1","1"
"392","29","HARMON","Warren","W. Mike","","","Harmon County Courthouse","114 W. Hollis Street"," ","Hollis","OK","73550","5806882553","                                                  ","mikewarren.jpg","Judge","Associate District","3","1","1","1"
"406","6","BLAINE","Moore","Mark","A.","","Blaine County Courthouse","212 N. Weigle Avenue"," ","Watonga","OK","73772","5806235025","                                                  ","markmoore.jpg","Judge","Associate District","4","1","1","1"
"408","72","TULSA","Lafortune","William","D.","","Tulsa County Courthouse","500 S. Denver","","Tulsa","OK","74103","9185968608","","williamlafortune.jpg","Judge","District","14","1","1","1"
"409","72","TULSA","Sellers","Jefferson","D.","","Tulsa County Courthouse","500 S. Denver Avenue, Rm. 713"," ","Tulsa","OK","74103","9185965375","                                                  ","jeffersonsellers.jpg","Judge","District","14","1","1","1"
"413","26","GRADY","Herndon","John","E.","","Grady County Courthouse","PO Box 605","","Chickasha","OK","73023","4052245314","                                                  ","johnherndon.jpg","Judge","Associate District","6","1","1","1"
"414","7","BRYAN","Sherrill","Trace","C.","","Bryan County Courthouse","402 W. Evergreen Street"," ","Durant","OK","74701","5809243450","                                                  ","tracesherrill.jpg","Judge","Special","19","1","1","0"
"417","55","OKLAHOMA","Jones","Glenn","M.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 722"," ","Oklahoma City","OK","73102","4057131420","Effective 5/1/2010 replacing Judge Charles Black  ","glennjones.jpg","Judge","District","7","1","1","0"
"421","61","PITTSBURG","Bland","Jim","D.","","Pittsburg County Courthouse","115 E. Carl Albert Parkway"," ","McAlester","OK","74501","9184236866","                                                  ","jimbland.jpg","Presiding Judge","District","18","1","1","1"
"422","49","MAYES","McBride","Terry","H.","","Mayes County Courthouse","One Court Place, Suite 240"," ","Pryor","OK","74361","9188253404","                                                  ","terrymcbride.jpg","Presiding Judge","District","12","1","1","1"
"431","73","WAGONER","Shepherd","Darrell","G.","","Wagoner County Courthouse","307 E. Cherokee Street"," ","Wagoner","OK","74467","9184852144","Replacing Judge Sewell (retired)      ","darrellshepherd.jpg","Judge","District","15","1","1","1"
"439","11","CHEROKEE","Dobbins","Mark","L.","","Cherokee County Courthouse","213 W. Delaware","","Tahlequah","OK","74464","9184566179","","markdobbins.jpg","Judge","Associate District","15","1","1","1"
"442","33","JACKSON","Huey","Clark","E.","","Jackson County Courthouse","101 N. Main, Ste. 301"," ","Altus","OK","73521","5804823155","                                                  ","clarkhuey.jpg","Judge","Associate District","3","1","1","0"
"445","55","OKLAHOMA","Stuart","Roger","H.","","Oklahoma County Courthouse","321 Park Avenue, Rm 201"," ","Oklahoma City","OK","73102","4057131107","                                                  ","rogerstuart.jpg","Judge","District","7","1","1","1"
"456","13","CIMARRON","Kincannon","Ronald","L.","","Cimarron County Courthouse","P.O. Box 788"," ","Boise City","OK","73933","5805442471","                                                  ","ronaldkincannon.jpg","Judge","Associate District","1","1","1","1"
"457","58","OTTAWA","Reavis, II","Robert","E.","","Ottawa County Courthouse","102 E. Central, Suite 100"," ","Miami","OK","74354","9185422862","                                                  ","robertreavis.jpg","Judge","Associate District","13","1","1","1"
"458","72","TULSA","Fransein","Doris","L.","","Tulsa Juvenile Center","315 S. Gilcrease Museum Rd."," ","Tulsa","OK","74127","9185965904","                                                  ","dorisfransein.jpg","Judge","District","14","1","1","1"
"461","72","TULSA","Smith","Sarah","D.","","Tulsa County Courthouse","500 S. Denver, Rm. 111"," ","Tulsa","OK","74103","9185965372","                                                  ","sarahdaysmith.jpg","Judge","Special","14","1","1","1"
"462","72","TULSA","Morrissey","Linda","G.","","Tulsa County Courthouse","500 S. Denver, Rm. 601"," ","Tulsa","OK","74103","9185965340","                                                  ","lindamorrissey.jpg","Judge","District","14","1","1","0"
"465","55","OKLAHOMA","McElwee","Roma","M.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 631"," ","Oklahoma City","OK","73102","4057131121","                                                  ","romamcelwee.jpg","Judge","Special","7","1","1","1"
"482","14","CLEVELAND","Napoli","Jequita","H.","","Cleveland County Courthouse","200 S. Peters"," ","Norman","OK","73069","4053295733","                                                  ","jequitahnapoli.jpg","Judge","Special","21","1","1","0"
"483","21","DELAWARE","Littlefield","Alicia","","","Delaware County Courthouse","P.O. Box 489"," ","Jay","OK","74346","9182534329","                                                  ","alicialittlefield.jpg","Judge","Special","13","1","1","1"
"485","11","CHEROKEE","Crosslin","Sandy","","","Cherokee County Courthouse","213 W. Delaware"," ","Tahlequah","OK","74464","9184568252","                                                  ","sandycrosslin.jpg","Judge","Special","15","1","1","1"
"486","19","CREEK","Woolery","Richard","A.","","Creek County Courthouse","222 E. Dewey"," ","Sapulpa","OK","74066","9182274080","                                                  ","richardwoolery.jpg","Judge","Special","24","1","1","1"
"496","18","CRAIG","Wyatt, III","Harry","M.","","Craig County Courthouse","210 W. Delaware Street"," ","Vinita","OK","74301","9182562577","                                                  ","harrywyatt.jpg","Judge","Associate District","12","1","1","1"
"498","38","KIOWA","Russell","Norman","L.","","Kiowa County Courthouse","316 S. Main Street"," ","Hobart","OK","73651","5807263594","                                                  ","normanrussell.jpg","Judge","Associate District","3","1","1","1"
"499","26","GRADY","Brauer","Timothy","A.","","Grady County Courthouse","PO Box 605"," ","Chickasha","OK","73023","4052245564","                                                  ","timothybrauer.jpg","Judge","Special","6","1","1","0"
"525","72","TULSA","Hiddle","Bill","","","Tulsa County Courthouse","500 S. Denver, Rm. 173","","Tulsa","OK","74103","9185965388","","billhiddle.jpg","Judge","Special","14","1","1","1"
"548","72","TULSA","Otey","Millie","","","Tulsa County Courthouse","500 S. Denver, Rm. 112","","Tulsa","OK","74103","9185965347","","millieotey.jpg","Judge","Special","14","1","1","1"
"600","55","OKLAHOMA","Elliott","Ray","C.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 700"," ","Oklahoma City","OK","73102","4057131428","Sworn in 1/1/99                                   ","rayelliott.jpg","Presiding Judge","District","7","1","1","1"
"603","51","MUSKOGEE","Norman","Mike","","","Muskogee County Courthouse","P.O. Box 1350"," ","Muskogee","OK","74402","9186871950","                                                  ","mikenorman.jpg","Judge","District","15","1","1","0"
"604","58","OTTAWA","Haney","Robert","G.","","Ottawa County Courthouse","102 E. Central, Suite 200"," ","Miami","OK","74354","9185425574","                                                  ","roberthaney.jpg","Judge","District","13","1","1","1"
"606","67","SEMINOLE","Butner","George","W.","","Seminole County Courthouse","P.O. Box 656"," ","Wewoka","OK","74884","4052572545","Sworn in 1/11/99                                  ","georgebutner.jpg","Judge","District","22","1","1","1"
"607","21","DELAWARE","Denney","Barry","V.","","Delaware County Courthouse","P.O. Box 489"," ","Jay","OK","74346","9182534329","                                                  ","barryvdenney.jpg","Judge","Associate District","13","1","1","0"
"615","39","LATIMER","Welch","Bill","D.","","Latimer County Courthouse","109 N. Central Avenue"," ","Wilburton","OK","74578","9184652071","                                                  ","billwelch.jpg","Judge","Associate District","16","1","1","1"
"616","66","ROGERS","Steidley","J. Dwayne","","","Rogers County Courthouse","200 S. Lynn Riggs Blvd."," ","Claremore","OK","74017","9189234964","                                                  ","jdwaynesteidley.jpg","Judge","District","12","1","1","0"
"618","58","OTTAWA","Culver","William","E.","","Ottawa County Courthouse","102 E. Central, Suite 100"," ","Miami","OK","74334","9185422788","                                                  ","williamculver.jpg","Judge","Special","13","1","1","1"
"619","19","CREEK","Vassar","Joe Sam","","","Creek County Courthouse","110 W. 7th"," ","Bristow","OK","74010","9183678979",".                                                 ","joevassar.jpg","Judge","District","24","1","1","1"
"623","20","CUSTER","Weedon","Jill","Carpenter","","Custer County Courthouse","P. O. Box 180"," ","Arapaho","OK","73620","5803233456","                                                  ","jillweedon.jpg","Judge","Associate District","2","1","1","1"
"624","16","COMANCHE","Harris","Kenny","D.","","Comanche County Courthouse","315 S. W. 5th Street"," ","Lawton","OK","73501","5805814590","                                                  ","kennyharris.jpg","Judge","Special","5","1","1","1"
"626","60","PAYNE","Corley","Phillip","C.","","Payne County Courthouse","606 S. Husband","","Stillwater","OK","74074","4053723624","                                                  ","phillipcorley.jpg","Judge","District","9","1","1","0"
"670","72","TULSA","Bitting","Terry","H.","","Tulsa County Courthouse","500 S. Denver, Rm. 507"," ","Tulsa","OK","74103","9185968750","                                                  ","terrybitting.jpg","Judge","Special","14","1","1","1"
"671","72","TULSA","Cantrell","Daman"," H.","","Tulsa County Courthouse","500 S. Denver Ave., Rm. 631"," ","Tulsa","OK","74103","9185965390","                                                  ","damancantrell.jpg","Judge","District","14","1","1","0"
"747","66","ROGERS","Condren","Sheila","A.","","Rogers County Courthouse","200 S. Lynn Riggs Blvd.","","Claremore","OK","74017","9189234968",".
","sheilacondren.jpg","Judge","District","12","1","1","1"
"760","55","OKLAHOMA","Walke","Geary","L.","","Oklahoma County Courthouse","321 Park Avenue, Room 626","","Oklahoma City","OK","73102","4057137105","","gearywalke.jpg","Judge","Special","7","1","1","0"
"806","4","BEAVER","Reddick","Ryan","D.","","Beaver County Courthouse","P.O. Box 100","","Beaver","OK","73932","5806253191","","ryanreddick.jpg","Judge","Associate District","1","1","1","1"
"807","55","OKLAHOMA","Ryan","Gregory","J","","Oklahoma Juvenile Justice Center","5905 Classen Court, Courtroom B, Ste. 208","","Oklahoma City","OK","73118","4057136763","","gregoryryan.jpg","Judge","Special","7","1","1","1"
"808","55","OKLAHOMA","Hammond","Lisa","K.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 520","","Oklahoma City","OK","73102","4057131144","","lisahammond.jpg","Judge","Special","7","1","1","0"
"813","76","WOODS","Hadwiger","Mickey","Jay","","Woods County Courthouse","407 Government Street, Ste. 32","","Alva","OK","73717","5803271596","","mickeyhadwiger.jpg","Judge","Associate District","4","1","1","1"
